TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
3,70,756,CC,false,3,A,0,0,,0,
5,90,756,CC,false,5,A,0,0,,0,
6,70,756,CC,false,6,A,0,0,,0,
8,100,756,CC,false,8,A,0,0,,0,
9,100,756,CC,false,10,A,0,0,,0,
10,100,756,CC,false,10,A,0,0,,0,
12,90,756,CC,false,12,A,0,0,,0,
15,70,756,CC,false,15,A,0,0,,0,
16,80,756,CC,false,16,A,0,0,,0,
18,70,756,CC,false,18,A,0,0,,0,
20,70,756,CC,false,20,A,0,0,,0,
22,80,756,CC,false,23,A,0,0,,0,
23,80,756,CC,false,23,A,0,0,,0,
24,100,756,CC,false,25,A,0,0,,0,
25,100,756,CC,false,25,A,0,0,,0,
27,80,756,CC,false,28,A,0,0,,0,
28,80,756,CC,false,28,A,0,0,,0,
30,100,756,CC,false,31,A,0,0,,0,
31,100,756,CC,false,31,A,0,0,,0,
33,90,756,CC,false,34,A,0,0,,0,
34,90,756,CC,false,34,A,0,0,,0,
36,70,756,CC,false,36,A,0,0,,0,
38,70,756,CC,false,39,A,0,0,,0,
39,70,756,CC,false,39,A,0,0,,0,
41,80,756,CC,false,42,A,0,0,,0,
42,80,756,CC,false,42,A,0,0,,0,
45,80,756,CC,false,45,A,0,0,,0,
47,70,756,CC,false,47,A,0,0,,0,
49,80,756,CC,false,50,A,0,0,,0,
50,80,756,CC,false,50,A,0,0,,0,
51,70,756,CC,false,51,A,0,0,,0,
53,70,756,CC,false,53,A,0,0,,0,
55,80,756,CC,false,56,A,0,0,,0,
56,80,756,CC,false,56,A,0,0,,0,
58,100,756,CC,false,59,A,0,0,,0,
59,100,756,CC,false,59,A,0,0,,0,
60,90,756,CC,false,61,A,0,0,,0,
61,90,756,CC,false,61,A,0,0,,0,
63,90,756,CC,false,64,A,0,0,,0,
64,90,756,CC,false,64,A,0,0,,0,
66,70,756,CC,false,66,A,0,0,,0,
67,80,756,CC,false,16,A,0,0,,0,
69,100,756,CC,false,70,A,0,0,,0,
70,100,756,CC,false,70,A,0,0,,0,
72,100,756,CC,false,72,A,0,0,,0,
74,90,756,CC,false,74,A,0,0,,0,
75,80,756,CC,false,76,A,0,0,,0,
76,80,756,CC,false,76,A,0,0,,0,
78,100,756,CC,false,79,A,0,0,,0,
79,100,756,CC,false,79,A,0,0,,0,
81,100,756,CC,false,81,A,0,0,,0,
83,100,756,CC,false,83,A,0,0,,0,
85,90,756,CC,false,85,A,0,0,,0,
87,100,756,CC,false,88,A,0,0,,0,
88,100,756,CC,false,88,A,0,0,,0,
90,100,756,CC,false,91,A,0,0,,0,
91,100,756,CC,false,91,A,0,0,,0,
93,70,756,CC,false,6,A,0,0,,0,
95,70,756,CC,false,95,A,0,0,,0,
97,70,756,CC,false,97,A,0,0,,0,
99,80,756,CC,false,99,A,0,0,,0,
101,100,756,CC,false,102,A,0,0,,0,
102,100,756,CC,false,102,A,0,0,,0,
104,70,756,CC,false,105,A,0,0,,0,
105,70,756,CC,false,105,A,0,0,,0,
107,70,756,CC,false,107,A,0,0,,0,
109,100,756,CC,false,109,A,0,0,,0,
111,70,756,CC,false,111,A,0,0,,0,
113,70,756,CC,false,113,A,0,0,,0,
115,80,756,CC,false,116,A,0,0,,0,
116,80,756,CC,false,116,A,0,0,,0,
118,100,756,CC,false,119,A,0,0,,0,
119,100,756,CC,false,119,A,0,0,,0,
121,100,756,CC,false,122,A,0,0,,0,
122,100,756,CC,false,122,A,0,0,,0,
124,80,756,CC,false,124,A,0,0,,0,
126,70,756,CC,false,126,A,0,0,,0,
128,80,756,CC,false,128,A,0,0,,0,
130,70,756,CC,false,131,A,0,0,,0,
131,70,756,CC,false,131,A,0,0,,0,
133,70,756,CC,false,133,A,0,0,,0,
135,80,756,CC,false,136,A,0,0,,0,
136,80,756,CC,false,136,A,0,0,,0,
138,70,756,CC,false,138,A,0,0,,0,
140,70,756,CC,false,140,A,0,0,,0,
142,100,756,CC,false,142,A,0,0,,0,
144,100,756,CC,false,145,A,0,0,,0,
145,100,756,CC,false,145,A,0,0,,0,
147,100,756,CC,false,148,A,0,0,,0,
148,100,756,CC,false,148,A,0,0,,0,
150,70,756,CC,false,150,A,0,0,,0,
152,70,756,CC,false,153,A,0,0,,0,
153,70,756,CC,false,153,A,0,0,,0,
155,80,756,CC,false,155,A,0,0,,0,
157,70,756,CC,false,157,A,0,0,,0,
159,70,756,CC,false,159,A,0,0,,0,
161,70,756,CC,false,161,A,0,0,,0,
163,100,756,CC,false,163,A,0,0,,0,
165,80,756,CC,false,166,A,0,0,,0,
166,80,756,CC,false,166,A,0,0,,0,
168,70,756,CC,false,168,A,0,0,,0,
170,70,756,CC,false,170,A,0,0,,0,
172,70,756,CC,false,172,A,0,0,,0,
174,90,756,CC,false,175,A,0,0,,0,
175,90,756,CC,false,175,A,0,0,,0,
177,70,756,CC,false,178,A,0,0,,0,
178,70,756,CC,false,178,A,0,0,,0,
180,100,756,CC,false,180,A,0,0,,0,
182,70,756,CC,false,182,A,0,0,,0,
184,70,756,CC,false,184,A,0,0,,0,
186,90,756,CC,false,186,A,0,0,,0,
187,100,756,CC,false,187,A,0,0,,0,
189,80,756,CC,false,190,A,0,0,,0,
190,80,756,CC,false,190,A,0,0,,0,
192,100,756,CC,false,192,A,0,0,,0,
194,80,756,CC,false,195,A,0,0,,0,
195,80,756,CC,false,195,A,0,0,,0,
