CURVE,X,Y
4248,0,0.001
4072,0,0.00102
20133,0,0.00102
3039,0,0.00102
2083,0,0.001
643,0,0.0015
4074,0,0.00153
5513,0,0.00153
3044,0,0.00153
1581,0,0.00195
5151,0,0.002
11780,0,0.00214
1469,0,0.002
959,0,0.00214
830,0,0.002
523,0,0.00195
509,0,0.00195
2810,0,0.0022
847,0,0.0022
2943,0,0.00234
827,0,0.0022
8019,0,0.00234
5022,0,0.0024
19255,0,0.00909
6324,0,0.00955
5815,0,0.0024
958,0,0.00955
831,0,0.0024
510,0,0.00234
506,0,0.00214
8978,0,0.00974
961,0,0.00974
5019,0,0.0098
845,0,0.0098
2831,0,0.01
19195,0,0.0125
19183,0,0.0125
4405,0,0.0161
3191,0,0.01
832,0,0.01
825,0,0.0098
511,0,0.00974
504,0,0.00955
128,0,0.0015
117,0,0.0015
6913,0,0.01643
7114,0,0.01761
6473,0,0.01643
3041,0,0.01643
2468,0,0.0161
114,0,0.0161
112,0,0.001
4073,0,0.02602
5020,0,0.036
4165,0,0.02602
3040,0,0.02602
20212,0,0.04546
19569,0,0.05
19257,0,0.04546
8384,0,0.036
19184,0,0.0625
4501,0,0.05
4315,0,0.05
828,0,0.036
746,0,0.06775
27,0,0.01761
14,0,0.01761
19258,0,0.07273
12342,0,0.08889
5935,0,0.09743
4553,0,0.08889
3271,0,0.09743
1981,0,0.09799
19617,0,0.11111
12340,0,0.11111
4932,0,0.09799
4551,0,0.11111
4500,0,0.125
4490,0,0.125
748,0,0.1355
641,0,0.09799
507,0,0.09743
24,0,0.06775
19256,0,0.14546
1062,0,0.14699
12341,0,0.17778
5934,0,0.19486
4552,0,0.17778
3754,0,0.14699
3270,0,0.19486
1980,0,0.19598
4931,0,0.19598
20213,0,0.21818
19260,0,0.21818
4314,0,0.2
9020,0,0.2
9020,1,0.2
9020,10,1.9
9020,20,3.9
9020,30,5.8
9020,40,7.8
9020,60,11.6
9020,70,13.6
9020,80,15.5
9020,90,17.5
9020,110,21.3
9020,120,23.3
9020,130,25.2
9020,140,27.2
9020,160,31
9020,170,33
9020,180,34.9
9020,190,36.9
9020,210,40.7
9020,220,42.7
9020,230,44.6
9020,240,46.6
9020,260,50.4
9020,270,52.4
9020,280,54.3
9020,290,56.3
9020,299,58
4308,0,0.2
4308,1,0.2
4308,10,1.7
4308,290,49.3
4308,299,50.8
1073,0,0.24498
640,0,0.19598
505,0,0.19486
11693,0,0.3
11693,1,0.3
11693,10,3.3
11693,20,6.5
11693,30,9.8
11693,40,13
11693,60,19.6
11693,70,22.8
11693,80,26.1
11693,90,29.3
11693,110,35.9
11693,120,39.1
11693,130,42.4
11693,140,45.6
11693,160,52.2
11693,170,55.4
11693,180,58.7
11693,190,61.9
11693,210,68.5
11693,220,71.7
11693,230,75
11693,240,78.2
11693,260,84.8
11693,270,88
11693,280,91.3
11693,290,94.5
11693,299,97.5
9025,0,0.25
2469,0,0.24498
8382,0,0.3
8382,1,0.3
8382,10,3.2
8382,290,92.8
8382,299,95.7
14829,0,0.3
14829,1,0.3
14829,10,3.3
14829,20,6.5
14829,30,9.8
14829,40,13
14829,60,19.6
14829,70,22.8
14829,80,26.1
14829,90,29.3
14829,110,35.9
14829,120,39.1
14829,130,42.4
14829,140,45.6
14829,160,52.2
14829,170,55.4
14829,180,58.7
14829,190,61.9
14829,210,68.5
14829,220,71.7
14829,230,75
14829,240,78.2
14829,260,84.8
14829,270,88
14829,280,91.3
14829,290,94.5
14829,299,97.5
7562,0,0.3
7562,1,0.3
7562,10,3.3
7562,20,6.5
7562,30,9.8
7562,40,13
7562,60,19.6
7562,70,22.8
7562,80,26.1
7562,90,29.3
7562,110,35.9
7562,120,39.1
7562,130,42.4
7562,140,45.6
7562,160,52.2
7562,170,55.4
7562,180,58.7
7562,190,61.9
7562,210,68.5
7562,220,71.7
7562,230,75
7562,240,78.2
7562,260,84.8
7562,270,88
7562,280,91.3
7562,290,94.5
7562,299,97.5
6232,0,0.3
6232,1,0.3
6232,10,3.3
6232,20,6.5
6232,30,9.8
6232,40,13
6232,60,19.6
6232,70,22.8
