TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
1,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,0.092696812276
2,0,0,0,9.85502004E8,managed,planted,cc_pl,0.092696812276
3,0,0,0,9.85503001E8,unmanaged,planted,cc_pl,0.07
4,0,0,0,9.85503001E8,managed,planted,cc_pl,0.07
5,0,0,0,9.85503001E8,managed,planted,cc_pl_ct,0.07
6,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1,0.07
7,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2,0.07
8,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
9,0,0,0,9.85502003E8,unmanaged,planted,cc_pl,0.791965212254
10,0,0,0,9.85502003E8,managed,planted,cc_pl,0.791965212254
11,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.07
12,0,0,0,9.85503E8,managed,planted,cc_pl,0.07
13,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,0.13420410742
14,0,0,0,9.85502004E8,managed,planted,cc_pl,0.13420410742
15,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.238383897113
16,0,0,0,9.85501003E8,managed,natural,baseline,0.238383897113
17,0,0,0,9.85501003E8,managed,planted,cc_pl,0.238383897113
18,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.0805447106444
19,0,0,0,9.85501001E8,managed,planted,cc_pl,0.0805447106444
20,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.0805447106444
21,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.0805447106444
22,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.0805447106444
23,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0805447106444
24,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.07
25,0,0,0,9.85502002E8,managed,natural,baseline,0.07
26,0,0,0,9.85502002E8,managed,planted,cc_pl,0.07
27,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.07
28,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.07
29,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.07
30,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
31,0,0,0,9.85501E8,unmanaged,planted,cc_pl,0.07
32,0,0,0,9.85501E8,managed,planted,cc_pl,0.07
33,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.377644451279
34,0,0,0,9.85502001E8,managed,planted,cc_pl,0.377644451279
35,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.377644451279
36,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.377644451279
37,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.377644451279
38,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.377644451279
39,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.17612610503
40,0,0,0,9.85502001E8,managed,planted,cc_pl,0.17612610503
41,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.17612610503
42,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.17612610503
43,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.17612610503
44,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.17612610503
45,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.374104874003
46,0,0,0,9.85503003E8,managed,natural,baseline,0.374104874003
47,0,0,0,9.85503003E8,managed,planted,cc_pl,0.374104874003
48,0,0,0,9.85501E8,unmanaged,natural,baseline,0.233958494724
49,0,0,0,9.85501E8,managed,natural,baseline,0.233958494724
50,0,0,0,9.85501E8,managed,planted,cc_pl,0.233958494724
51,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.286714152333
52,0,0,0,9.85502002E8,managed,natural,baseline,0.286714152333
53,0,0,0,9.85502002E8,managed,planted,cc_pl,0.286714152333
54,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.286714152333
55,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.286714152333
56,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.286714152333
57,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.286714152333
58,0,0,0,9.85502003E8,unmanaged,natural,baseline,0.973793839534
59,0,0,0,9.85502003E8,managed,natural,baseline,0.973793839534
60,0,0,0,9.85502003E8,managed,planted,cc_pl,0.973793839534
61,0,0,0,9.85503001E8,unmanaged,planted,cc_pl,0.0743900243917
62,0,0,0,9.85503001E8,managed,planted,cc_pl,0.0743900243917
63,0,0,0,9.85503001E8,managed,planted,cc_pl_ct,0.0743900243917
64,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1,0.0743900243917
65,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2,0.0743900243917
66,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0743900243917
67,0,0,0,9.85503E8,unmanaged,natural,baseline,0.07
68,0,0,0,9.85503E8,managed,natural,baseline,0.07
69,0,0,0,9.85501E8,unmanaged,natural,baseline,0.245914084611
70,0,0,0,9.85501E8,managed,natural,baseline,0.245914084611
71,0,0,0,9.85501E8,managed,planted,cc_pl,0.245914084611
72,0,0,0,9.85502006E8,unmanaged,natural,baseline,1.0
73,0,0,0,9.85501E8,unmanaged,planted,cc_pl,0.233140682165
74,0,0,0,9.85501E8,managed,planted,cc_pl,0.233140682165
75,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.126259452096
76,0,0,0,9.85503E8,managed,planted,cc_pl,0.126259452096
77,0,0,0,9.85502007E8,unmanaged,natural,baseline,0.303810256611
78,0,0,0,9.85502007E8,managed,natural,baseline,0.303810256611
79,0,0,0,9.85502007E8,managed,planted,cc_pl,0.303810256611
80,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.0952753308691
81,0,0,0,9.85502001E8,managed,planted,cc_pl,0.0952753308691
82,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.0952753308691
83,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.0952753308691
84,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.0952753308691
85,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0952753308691
86,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.499078884898
87,0,0,0,9.85503E8,managed,planted,cc_pl,0.499078884898
88,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.787777652256
89,0,0,0,9.85503003E8,managed,natural,baseline,0.787777652256
90,0,0,0,9.85503003E8,managed,planted,cc_pl,0.787777652256
91,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.336358892949
92,0,0,0,9.85502002E8,managed,natural,baseline,0.336358892949
93,0,0,0,9.85502002E8,managed,planted,cc_pl,0.336358892949
94,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.336358892949
95,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.336358892949
96,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.336358892949
97,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.336358892949
98,0,0,0,9.85501001E8,unmanaged,natural,baseline,0.07
99,0,0,0,9.85501001E8,managed,natural,baseline,0.07
100,0,0,0,9.85501001E8,managed,planted,cc_pl,0.07
101,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.07
102,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.07
103,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.07
104,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
105,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.918579276429
106,0,0,0,9.85501003E8,managed,natural,baseline,0.918579276429
107,0,0,0,9.85501003E8,managed,planted,cc_pl,0.918579276429
108,0,0,0,9.85502003E8,unmanaged,natural,baseline,0.101502634874
109,0,0,0,9.85502003E8,managed,natural,baseline,0.101502634874
110,0,0,0,9.85502003E8,managed,planted,cc_pl,0.101502634874
111,0,0,0,9.85502002E8,unmanaged,planted,cc_pl,0.07
112,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.07
113,0,0,0,9.85501003E8,managed,natural,baseline,0.07
114,0,0,0,9.85501003E8,managed,planted,cc_pl,0.07
115,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.125551549758
116,0,0,0,9.85503E8,managed,planted,cc_pl,0.125551549758
117,0,0,0,9.85501E8,unmanaged,natural,baseline,0.07
118,0,0,0,9.85501E8,managed,natural,baseline,0.07
119,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.138068148104
120,0,0,0,9.85501001E8,managed,planted,cc_pl,0.138068148104
121,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.138068148104
122,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.138068148104
123,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.138068148104
124,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.138068148104
125,0,0,0,9.85501E8,unmanaged,natural,baseline,0.12745779471
126,0,0,0,9.85501E8,managed,natural,baseline,0.12745779471
127,0,0,0,9.85501E8,managed,planted,cc_pl,0.12745779471
128,0,0,0,9.85501E8,unmanaged,natural,baseline,0.0906154823104
129,0,0,0,9.85501E8,managed,natural,baseline,0.0906154823104
130,0,0,0,9.85501E8,managed,planted,cc_pl,0.0906154823104
131,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,0.286074558662
132,0,0,0,9.85502004E8,managed,planted,cc_pl,0.286074558662
133,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.601783085223
134,0,0,0,9.85501001E8,managed,planted,cc_pl,0.601783085223
135,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.601783085223
136,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.601783085223
137,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.601783085223
