TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.Seral.CWHvm_HW_CW_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.young,31,false,false,false,1.0,false,false
feature.Seral.immature,31,false,false,false,1.0,false,false
feature.Seral.mature,31,false,false,false,1.0,false,false
feature.Seral.overmature,31,false,false,false,1.0,false,false
feature.Seral.regenerating,31,false,false,false,1.0,false,false
feature.Seral.young,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.BA,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.FDC,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.HW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.PLC,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.SS,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.YC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.BA,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.FDC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.HW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.PLC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.SS,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.YC,31,false,false,false,1.0,false,false
feature.Yield.managed.BA,31,false,false,false,1.0,false,false
feature.Yield.managed.CW,31,false,false,false,1.0,false,false
feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
feature.Yield.managed.HW,31,false,false,false,1.0,false,false
feature.Yield.managed.SS,31,false,false,false,1.0,false,false
feature.Yield.managed.Total,31,false,false,false,1.0,false,false
feature.Yield.managed.YC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.BA,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.CW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.FDC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.HW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.PLC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.SS,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.Total,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.YC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.BA,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.SS,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.Total,31,true,true,true,1.0,false,false
flow.even.product.Yield.managed.YC,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.BA,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.SS,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.Total,31,true,true,true,1.0,true,false
flow.ndy.feature.Yield.managed.YC,31,false,false,false,1.0,false,false
patch.blocks.area,31,false,false,false,1.0,false,false
patch.blocks.attractor,31,false,false,false,1.0,false,false
patch.blocks.blocks,31,false,false,false,1.0,false,false
patch.blocks.freqpercent,31,false,false,false,1.0,false,false
patch.blocks.frequency,31,false,false,false,1.0,false,false
patch.blocks.shape,31,false,false,false,1.0,false,false
patch.blocks.size,31,false,true,true,1.0,false,false
patch.regen.0_max.area,31,false,false,false,1.0,false,false
patch.regen.0_max.attractor,31,false,false,false,1.0,false,false
patch.regen.0_max.blocks,31,false,false,false,1.0,false,false
patch.regen.0_max.freqpercent,31,false,false,false,1.0,false,false
patch.regen.0_max.frequency,31,false,false,false,1.0,false,false
