BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,0.402219
1,managed,2,57,7.6422
2,unmanaged,3,57,0.294906
2,managed,4,57,5.6032
3,unmanaged,6,37,0.097886
3,managed,7,37,1.85984
4,unmanaged,8,57,0.367784
4,managed,9,57,6.9879
5,unmanaged,1,47,0.260088
5,managed,2,47,4.94167
6,unmanaged,11,87,0.152842
6,managed,12,87,2.90401
7,unmanaged,14,57,4.36935
7,managed,15,57,83.018
8,unmanaged,16,277,1.08888
8,managed,17,277,20.6887
9,unmanaged,8,57,0.211363
9,managed,9,57,4.0159
10,unmanaged,16,307,0.345051
10,managed,17,307,6.556
11,unmanaged,19,57,0.21642
11,managed,20,57,4.11197
12,unmanaged,21,47,0.130405
12,managed,22,47,2.4777
13,unmanaged,8,47,0.08701
13,managed,9,47,1.65319
14,unmanaged,21,47,2.32246
14,managed,22,47,44.1268
15,unmanaged,24,127,0.140815
15,managed,25,127,2.67549
16,unmanaged,16,127,0.04107
16,managed,17,127,0.78033
17,unmanaged,27,67,0.160011
17,managed,28,67,3.0402
18,unmanaged,16,407,0.384368
18,managed,17,407,7.303
19,unmanaged,29,127,0.073036
19,managed,30,127,1.38769
20,unmanaged,3,47,1.05787
20,managed,4,47,20.0995
21,unmanaged,31,67,0.82265
21,managed,32,67,15.6303
22,unmanaged,3,57,0.067923
22,managed,4,57,1.29054
23,unmanaged,27,127,0.493485
23,managed,28,127,9.3762
24,unmanaged,33,277,0.489849
24,managed,34,277,9.3071
25,unmanaged,19,57,0.105254
25,managed,20,57,1.99982
26,unmanaged,8,47,0.413818
26,managed,9,47,7.8625
27,unmanaged,36,207,0.132471
27,managed,37,207,2.51695
28,unmanaged,21,57,0.372193
28,managed,22,57,7.0717
29,unmanaged,8,57,0.082571
29,managed,9,57,1.56885
30,unmanaged,24,107,0.176983
30,managed,25,107,3.36269
31,unmanaged,16,357,0.309912
31,managed,17,357,5.8883
32,unmanaged,16,277,0.420129
32,managed,17,277,7.9825
33,unmanaged,39,127,0.175113
33,managed,40,127,3.32715
34,unmanaged,11,237,0.207693
34,managed,12,237,3.94616
35,unmanaged,8,57,0.210893
35,managed,9,57,4.00696
36,unmanaged,8,47,0.283961
36,managed,9,47,5.3953
37,unmanaged,29,127,0.283566
37,managed,30,127,5.3878
38,unmanaged,16,407,0.282578
38,managed,17,407,5.369
39,unmanaged,41,47,1.1609
39,managed,18,47,22.0571
40,unmanaged,11,237,0.199008
40,managed,12,237,3.78115
41,unmanaged,8,57,0.142358
41,managed,9,57,2.7048
42,unmanaged,27,127,0.195851
42,managed,28,127,3.72117
43,unmanaged,14,47,0.179774
43,managed,15,47,3.41571
44,unmanaged,8,57,0.07294
44,managed,9,57,1.38586
45,unmanaged,27,107,0.128694
45,managed,28,107,2.44519
46,unmanaged,11,237,0.230247
46,managed,12,237,4.37469
47,unmanaged,27,77,0.27736
47,managed,28,77,5.2698
48,unmanaged,1,43,0.73941
48,managed,2,43,14.0488
49,unmanaged,14,47,0.491883
49,managed,15,47,9.3458
50,unmanaged,11,237,0.194169
50,managed,12,237,3.68922
51,unmanaged,24,103,0.74269
51,managed,25,103,14.1111
52,unmanaged,16,403,0.14065
52,managed,17,403,2.67236
53,unmanaged,16,177,0.168
53,managed,17,177,3.19199
54,unmanaged,1,47,0.324327
54,managed,2,47,6.1622
55,unmanaged,16,277,0.456336
55,managed,17,277,8.6704
56,unmanaged,1,47,0.127364
56,managed,2,47,2.41991
57,unmanaged,14,47,0.289244
57,managed,15,47,5.4956
58,unmanaged,16,237,0.097513
58,managed,17,237,1.85276
59,unmanaged,16,357,0.071392
59,managed,17,357,1.35645
60,unmanaged,42,307,0.318734
60,managed,43,307,6.0559
61,unmanaged,31,107,0.77246
61,managed,32,107,14.6768
62,unmanaged,8,47,0.130235
62,managed,9,47,2.47446
63,unmanaged,8,47,0.200712
63,managed,9,47,3.81352
64,unmanaged,16,237,0.0334514
