BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,2.2776
1,managed,2,57,5.7668
2,unmanaged,3,57,0.230143
2,managed,4,57,5.668
3,unmanaged,6,37,1.00315
3,managed,7,37,0.95457
4,unmanaged,8,57,0.257449
4,managed,9,57,7.0982
5,unmanaged,11,47,4.14373
5,managed,12,47,1.05803
6,unmanaged,13,87,0.10699
6,managed,14,87,2.94986
7,unmanaged,16,57,10.1931
7,managed,17,57,77.194
8,unmanaged,18,277,21.7776
9,unmanaged,19,57,1.51096
9,managed,20,57,2.7163
10,unmanaged,18,307,6.901
11,unmanaged,22,57,0.151494
11,managed,23,57,4.1769
12,unmanaged,24,47,0.206022
12,managed,25,47,2.40208
13,unmanaged,27,47,0.51842
13,managed,28,47,1.22178
14,unmanaged,30,47,2.96099
14,managed,31,47,43.4882
15,unmanaged,33,127,0.284945
15,managed,34,127,2.53136
16,unmanaged,36,127,0.028749
16,managed,37,127,0.79265
17,unmanaged,39,67,0.94195
17,managed,40,67,2.25826
18,unmanaged,18,407,7.6874
19,unmanaged,42,127,0.97906
19,managed,43,127,0.481663
20,unmanaged,45,47,0.74051
20,managed,46,47,20.4169
21,unmanaged,48,67,1.55741
21,managed,49,67,14.8955
22,unmanaged,45,57,0.0475461
22,managed,46,57,1.31091
23,unmanaged,52,127,0.82343
23,managed,53,127,9.0463
24,unmanaged,55,277,9.797
25,unmanaged,56,57,0.71581
25,managed,57,57,1.38926
26,unmanaged,58,47,0.375285
26,managed,59,47,7.9011
27,unmanaged,61,207,0.74073
27,managed,62,207,1.90869
28,unmanaged,64,57,0.260535
28,managed,65,57,7.1833
29,unmanaged,67,57,0.266002
29,managed,68,57,1.38542
30,unmanaged,70,107,1.75958
30,managed,71,107,1.78009
31,unmanaged,18,357,6.1982
32,unmanaged,18,277,8.4026
33,unmanaged,73,127,0.143418
33,managed,74,127,3.35884
34,unmanaged,76,237,3.30301
34,managed,77,237,0.85084
35,unmanaged,8,57,0.147625
35,managed,9,57,4.07023
36,unmanaged,8,47,0.198773
36,managed,9,47,5.4805
37,unmanaged,79,127,0.198497
37,managed,80,127,5.4728
38,unmanaged,18,407,5.6516
39,unmanaged,82,47,0.81263
39,managed,38,47,22.4053
