GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Yield.managed.FDC,feature.Yield.managed.FDC,1
_MANAGED_,feature.Yield.managed.HW,feature.Yield.managed.HW,1
_MANAGED_,feature.Yield.managed.PLC,feature.Yield.managed.PLC,1
_MANAGED_,feature.Yield.managed.SS,feature.Yield.managed.SS,1
_MANAGED_,feature.Yield.managed.Total,feature.Yield.managed.Total,1
_MANAGED_,feature.Yield.managed.YC,feature.Yield.managed.YC,1
_UNMANAGED_,feature.Yield.unmanaged.BA,feature.Yield.unmanaged.BA,1
_UNMANAGED_,feature.Yield.unmanaged.CW,feature.Yield.unmanaged.CW,1
_UNMANAGED_,feature.Yield.unmanaged.DR,feature.Yield.unmanaged.DR,1
_UNMANAGED_,feature.Yield.unmanaged.FDC,feature.Yield.unmanaged.FDC,1
_UNMANAGED_,feature.Yield.unmanaged.HW,feature.Yield.unmanaged.HW,1
_UNMANAGED_,feature.Yield.unmanaged.PLC,feature.Yield.unmanaged.PLC,1
_UNMANAGED_,feature.Yield.unmanaged.SS,feature.Yield.unmanaged.SS,1
_UNMANAGED_,feature.Yield.unmanaged.Total,feature.Yield.unmanaged.Total,1
_UNMANAGED_,feature.Yield.unmanaged.YC,feature.Yield.unmanaged.YC,1
_MANAGED_,product.HarvestedVolume.managed.BA.CC,product.HarvestedVolume.managed.BA.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.CW.CC,product.HarvestedVolume.managed.CW.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.DR.CC,product.HarvestedVolume.managed.DR.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.FDC.CC,product.HarvestedVolume.managed.FDC.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.HW.CC,product.HarvestedVolume.managed.HW.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.PLC.CC,product.HarvestedVolume.managed.PLC.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.SS.CC,product.HarvestedVolume.managed.SS.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.Total.CC,product.HarvestedVolume.managed.Total.CC,0.85
_MANAGED_,product.HarvestedVolume.managed.YC.CC,product.HarvestedVolume.managed.YC.CC,0.85
_MANAGED_,product.QMDNumerator.managed.CWHvm_CW_HW_M.CC,product.QMDNumerator.managed.CWHvm_CW_HW_M.CC,1
_MANAGED_,product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,1
_MANAGED_,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,1
_MANAGED_,product.QMDNumerator.managed.CWHvm_FDC_HW_L.CC,product.QMDNumerator.managed.CWHvm_FDC_HW_L.CC,1
_MANAGED_,product.QMDNumerator.managed.CWHvm_FDC_HW_M.CC,product.QMDNumerator.managed.CWHvm_FDC_HW_M.CC,1
_MANAGED_,product.QMDNumerator.managed.CWHvm_HW_BA_M.CC,product.QMDNumerator.managed.CWHvm_HW_BA_M.CC,1
