CURVE,X,Y
2229,0,0.001
1668,0,0.00102
1758,0,0.0015
1652,0,0.00102
951,0,0.001
3150,0,0.00153
2345,0,0.00153
1657,0,0.00153
768,0,0.0015
1926,0,0.00195
1224,0,0.002
862,0,0.002
539,0,0.002
245,0,0.00195
225,0,0.00195
3086,0,0.00214
1827,0,0.0022
2130,0,0.00234
1442,0,0.0022
536,0,0.0022
243,0,0.00214
4186,0,0.0024
1927,0,0.00234
863,0,0.0024
10745,0,0.00909
8699,0,0.00909
4292,0,0.00955
540,0,0.0024
226,0,0.00234
222,0,0.00214
2131,0,0.00974
1346,0,0.00955
7006,0,0.00974
2022,0,0.0098
4807,0,0.01
3032,0,0.0098
8627,0,0.0125
2230,0,0.0161
1841,0,0.01
541,0,0.01
534,0,0.0098
227,0,0.00974
220,0,0.00955
122,0,0.0015
2356,0,0.01643
1654,0,0.01643
756,0,0.0161
119,0,0.0161
117,0,0.001
1669,0,0.02602
2343,0,0.02602
1828,0,0.036
1653,0,0.02602
861,0,0.036
10735,0,0.04546
8701,0,0.04546
2643,0,0.05
8920,0,0.05
8628,0,0.0625
4037,0,0.06775
2488,0,0.05
537,0,0.036
456,0,0.01761
14,0,0.01761
9559,0,0.07273
8702,0,0.07273
6678,0,0.08889
4663,0,0.06775
2695,0,0.08889
2789,0,0.09799
1925,0,0.09743
877,0,0.09799
653,0,0.09743
6676,0,0.11111
2693,0,0.11111
8919,0,0.125
4038,0,0.1355
2634,0,0.125
362,0,0.09799
223,0,0.09743
11341,0,0.14699
9558,0,0.14546
8700,0,0.14546
4665,0,0.1355
755,0,0.14699
6677,0,0.17778
2694,0,0.17778
2788,0,0.19598
1924,0,0.19486
876,0,0.19598
652,0,0.19486
10746,0,0.21818
8704,0,0.21818
2487,0,0.2
5027,0,0.2
5027,1,0.2
5027,10,1.9
5027,20,3.9
5027,30,5.8
5027,40,7.8
5027,60,11.6
5027,70,13.6
5027,80,15.5
5027,90,17.5
5027,110,21.3
5027,120,23.3
5027,130,25.2
5027,140,27.2
5027,160,31
5027,170,33
5027,180,34.9
5027,190,36.9
5027,210,40.7
5027,220,42.7
5027,230,44.6
5027,240,46.6
5027,260,50.4
5027,270,52.4
5027,280,54.3
5027,290,56.3
5027,299,58
2481,0,0.2
2481,1,0.2
2481,10,1.7
2481,290,49.3
2481,299,50.8
2231,0,0.24498
361,0,0.19598
221,0,0.19486
5033,0,0.25
4928,0,0.3
4928,1,0.3
4928,10,3.2
4928,290,92.8
4928,299,95.7
3303,0,0.3
3303,1,0.3
3303,10,3.3
3303,20,6.5
3303,30,9.8
3303,40,13
3303,60,19.6
3303,70,22.8
3303,80,26.1
3303,90,29.3
3303,110,35.9
3303,120,39.1
3303,130,42.4
3303,140,45.6
3303,160,52.2
3303,170,55.4
3303,180,58.7
3303,190,61.9
3303,210,68.5
3303,220,71.7
3303,230,75
3303,240,78.2
3303,260,84.8
3303,270,88
3303,280,91.3
3303,290,94.5
3303,299,97.5
1823,0,0.3
1823,1,0.3
1823,10,3.2
1823,290,92.8
1823,299,95.7
1043,0,0.24498
8630,0,0.3
9712,0,0.3
9712,1,0.3
9712,10,3.3
9712,20,6.5
9712,30,9.8
9712,40,13
9712,60,19.6
9712,70,22.8
9712,80,26.1
9712,90,29.3
9712,110,35.9
9712,120,39.1
9712,130,42.4
9712,140,45.6
9712,160,52.2
9712,170,55.4
9712,180,58.7
9712,190,61.9
9712,210,68.5
9712,220,71.7
9712,230,75
9712,240,78.2
9712,260,84.8
9712,270,88
9712,280,91.3
9712,290,94.5
9712,299,97.5
4047,0,0.30488
8639,0,0.3
11244,0,0.3
11244,1,0.3
11244,10,3.2
11244,290,92.8
11244,299,95.7
7069,0,0.3
7069,1,0.3
7069,10,3.2
7069,290,92.8
7069,299,95.7
3617,0,0.3
3617,1,0.3
3617,10,3.3
3617,20,6.5
3617,30,9.8
3617,40,13
3617,60,19.6
3617,70,22.8
3617,80,26.1
3617,90,29.3
3617,110,35.9
3617,120,39.1
3617,130,42.4
3617,140,45.6
3617,160,52.2
3617,170,55.4
3617,180,58.7
3617,190,61.9
3617,210,68.5
3617,220,71.7
3617,230,75
3617,240,78.2
3617,260,84.8
3617,270,88
3617,280,91.3
3617,290,94.5
3617,299,97.5
1440,0,0.3
1440,1,0.3
1440,10,3.2
1440,290,92.8
1440,299,95.7
4382,0,0.3
4382,1,0.3
4382,10,3.2
4382,290,92.8
4382,299,95.7
5531,0,0.3
5531,1,0.3
5531,10,3.2
5531,290,92.8
5531,299,95.7
5203,0,0.3
5203,1,0.3
5203,10,3.2
5203,290,92.8
5203,299,95.7
858,0,0.3
858,1,0.3
858,10,3.2
858,290,92.8
858,299,95.7
121,0,0.24498
118,0,0.14699
13,0,0.1355
5032,0,0.35
4664,0,0.30488
1826,0,0.3656
860,0,0.3656
2344,0,0.37532
2242,0,0.37532
1655,0,0.37532
535,0,0.3656
8308,0,0.4
8308,1,0.4
8308,10,4.1
8308,290,118.9
8308,299,122.6
9889,0,0.4
9889,1,0.4
9889,10,4.1
9889,290,118.9
9889,299,122.6
6387,0,0.4
6387,1,0.4
6387,10,4.1
6387,290,118.9
6387,299,122.6
2008,0,0.4
2008,1,0.4
2008,10,4.1
2008,290,118.9
2008,299,122.6
215,0,0.4
215,1,0.4
215,10,4.1
215,290,118.9
215,299,122.6
32,0,0.47425
455,0,0.47425
6623,0,0.5
6623,1,0.5
6623,10,4.8
6623,20,9.6
6623,30,14.3
6623,70,33.5
6623,80,38.2
6623,120,57.4
6623,130,62.1
6623,170,81.3
6623,180,86
6623,220,105.2
6623,230,109.9
6623,270,129.1
6623,280,133.8
6623,290,138.6
6623,299,142.9
9178,0,0.5
9178,1,0.5
9178,10,4.8
9178,20,9.6
9178,30,14.3
9178,70,33.5
9178,80,38.2
9178,120,57.4
9178,130,62.1
9178,170,81.3
9178,180,86
9178,220,105.2
9178,230,109.9
9178,270,129.1
9178,280,133.8
9178,290,138.6
9178,299,142.9
2632,0,0.5
2632,1,0.5
2632,10,4.8
2632,20,9.6
2632,30,14.3
2632,70,33.5
2632,80,38.2
2632,120,57.4
2632,130,62.1
2632,170,81.3
2632,180,86
2632,220,105.2
2632,230,109.9
2632,270,129.1
2632,280,133.8
2632,290,138.6
2632,299,142.9
1648,0,0.5
1648,1,0.5
1648,10,4.8
1648,20,9.6
1648,30,14.3
1648,70,33.5
1648,80,38.2
1648,120,57.4
1648,130,62.1
1648,170,81.3
1648,180,86
1648,220,105.2
1648,230,109.9
1648,270,129.1
1648,280,133.8
1648,290,138.6
