TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
1,0,0,0,985502004,unmanaged,planted,cc_pl,0.283129300487711
2,0,0,0,985502004,managed,planted,cc_pl,0.283129300487711
3,0,0,0,985503001,unmanaged,planted,cc_pl,0.039019789881704
4,0,0,0,985503001,managed,planted,cc_pl,0.039019789881704
5,0,0,0,985503001,managed,planted,cc_pl_pct,0.039019789881704
6,0,0,0,985502003,unmanaged,planted,cc_pl,0.512408452505879
7,0,0,0,985502003,managed,planted,cc_pl,0.512408452505879
8,0,0,0,985503000,unmanaged,planted,cc_pl,0.035
9,0,0,0,985503000,managed,planted,cc_pl,0.035
10,0,0,0,985503000,managed,planted,cc_pl_pct,0.035
11,0,0,0,985502004,unmanaged,planted,cc_pl,0.796602216511551
12,0,0,0,985502004,managed,planted,cc_pl,0.796602216511551
13,0,0,0,985501003,unmanaged,natural,baseline,0.035
14,0,0,0,985501003,managed,natural,baseline,0.035
15,0,0,0,985501003,managed,planted,cc_pl,0.035
16,0,0,0,985501001,unmanaged,planted,cc_pl,0.116642935971085
17,0,0,0,985501001,managed,planted,cc_pl,0.116642935971085
18,0,0,0,985502002,unmanaged,natural,baseline,1.0
19,0,0,0,985503000,unmanaged,planted,cc_pl,0.357432909692421
20,0,0,0,985503000,managed,planted,cc_pl,0.357432909692421
21,0,0,0,985503000,managed,planted,cc_pl_pct,0.357432909692421
22,0,0,0,985501000,unmanaged,planted,cc_pl,0.035
23,0,0,0,985501000,managed,planted,cc_pl,0.035
24,0,0,0,985502001,unmanaged,planted,cc_pl,0.078993153077767
25,0,0,0,985502001,managed,planted,cc_pl,0.078993153077767
26,0,0,0,985502001,managed,planted,cc_pl_pct,0.078993153077767
27,0,0,0,985503000,unmanaged,planted,cc_pl,0.297907188102052
28,0,0,0,985503000,managed,planted,cc_pl,0.297907188102052
29,0,0,0,985503000,managed,planted,cc_pl_pct,0.297907188102052
30,0,0,0,985502001,unmanaged,planted,cc_pl,0.063746865421162
31,0,0,0,985502001,managed,planted,cc_pl,0.063746865421162
32,0,0,0,985502001,managed,planted,cc_pl_pct,0.063746865421162
33,0,0,0,985503003,unmanaged,natural,baseline,0.101176883880507
34,0,0,0,985503003,managed,natural,baseline,0.101176883880507
35,0,0,0,985503003,managed,planted,cc_pl,0.101176883880507
36,0,0,0,985502002,unmanaged,natural,baseline,0.035
37,0,0,0,985502002,managed,natural,baseline,0.035
38,0,0,0,985502002,managed,planted,cc_pl,0.035
39,0,0,0,985501000,unmanaged,natural,baseline,0.294339873260526
40,0,0,0,985501000,managed,natural,baseline,0.294339873260526
41,0,0,0,985501000,managed,planted,cc_pl,0.294339873260526
42,0,0,0,985502003,unmanaged,natural,baseline,0.670257292405503
43,0,0,0,985502003,managed,natural,baseline,0.670257292405503
44,0,0,0,985502003,managed,planted,cc_pl,0.670257292405503
45,0,0,0,985503001,unmanaged,planted,cc_pl,0.035
46,0,0,0,985503001,managed,planted,cc_pl,0.035
47,0,0,0,985503001,managed,planted,cc_pl_pct,0.035
48,0,0,0,985503000,unmanaged,natural,baseline,0.094658756466889
49,0,0,0,985503000,managed,natural,baseline,0.094658756466889
50,0,0,0,985503000,managed,planted,cc_pl,0.094658756466889
51,0,0,0,985503000,managed,planted,cc_pl_pct,0.094658756466889
52,0,0,0,985501000,unmanaged,natural,baseline,0.083429829930807
53,0,0,0,985501000,managed,natural,baseline,0.083429829930807
54,0,0,0,985501000,managed,planted,cc_pl,0.083429829930807
55,0,0,0,985502006,unmanaged,natural,baseline,1.0
56,0,0,0,985501000,unmanaged,planted,cc_pl,0.340040308561643
57,0,0,0,985501000,managed,planted,cc_pl,0.340040308561643
58,0,0,0,985503000,unmanaged,planted,cc_pl,0.045344228314493
59,0,0,0,985503000,managed,planted,cc_pl,0.045344228314493
